Artist_name,Artist_id,Artist_genres,Artist_followers,Artist_popularity
Hozier,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7653022,86
The Jackson 5,2iE18Oxc8YSumAU232n4rW,"['motown', 'soul']",1588551,66
KIMMUSEUM,1NVRvV0KqaO7VtSaVQcm3V,[],25021,43
CJ,7arQA31aZVS8yS6zUveWzb,['nyc rap'],241623,61
Mixer,6CMcc2djwtp3cIrpEHBxJ9,[],1628,24
ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock']",5366991,71
Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18131125,91
Sigala,1IueXOQyABrMOprrzwQJWN,"['dance pop', 'edm', 'pop dance', 'uk dance']",1563613,68
不是花火呀,5CxdR3VSEWjiAa5DabdLVd,['chinese viral pop'],75886,45
Tyla,3SozjO3Lat463tQICI9LcE,[],1777671,77
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,['pop'],9916757,74
Yaowen Liu,5FVgvRVA9Eh8OQxbV5TQSc,['taiwan idol pop'],39794,29
Joey Yung,2zzKlxMsKTPMsZacZCPRNA,['cantopop'],480835,56
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],118971229,100
张远,3PutidTQajzWO1gTetJReW,['chinese viral pop'],37140,50
Ronghao Li,0rTP0x4vRFSDbhtqcCqc8K,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",832590,60
Zhang Zhen Yue,6PNEi9i2MxUgRufqYr76Xt,"['classic mandopop', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']",205814,49
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],24566166,83
Burl Ives,0MHgLfmQdutffmvWe5XBTN,"['adult standards', 'american folk revival']",100669,44
許光漢,3hhUgkTf3fFYGogFMbV5Wv,[],41306,44
Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,"['j-pop', 'japanese teen pop']",678196,60
Peder Elias,56zJ6PZ3mNPBiBqglW2KxL,['norwegian pop'],95700,56
Mitchell Ayres & His Orchestra,0HS96tPggl2nwiz3gNWWI5,"[""man's orchestra""]",1049,45
ICE杨长青,1CYOMrOfyYgZjJ9n6KIpQO,['sichuanese hip hop'],13848,41
Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,['uk pop'],562314,65
Artemas,0PCCGZ0wGLizHt2KZ7hhA2,[],870867,80
JUNHA PARK,7oppHhvVWHX7WeGYjEOL6y,[],21503,38
Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,"['folk-pop', 'irish pop', 'uk pop']",1556188,70
黃小琥,6KCusBln9NTESgcuI0DlUz,"['classic mandopop', 'mandopop']",64174,43
周星星,2pu04SDXMrNFw0DMgsrFMp,['chinese viral pop'],4540,31
Tipsy,2gZ9Qtzq8vrqLkR5EUSJy5,[],26833,42
Vance Joy,10exVja0key0uqUkk6LJRT,"['folk-pop', 'modern rock']",3137458,76
thehopend,32lrEgDlSQ0p6KLJckSvXd,"['chinese melodic rap', 'taiwan hip hop']",12482,39
OH MY GIRL,2019zR22qK2RBvCqtudBaI,"['k-pop', 'k-pop girl group']",1802625,53
Seungmin,2nTtulf6WM0raQcIbzYJuf,[],251729,52
Victor Wong,70ht8hGTKjvbPJ37xVO9cW,"['malaysian mandopop', 'mandopop']",79615,40
井胧,7vUl41Mg2BGkAWQcK6ptJ2,['chinese viral pop'],23040,42
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'country road']",3180298,70
SUGA,5RmQ8k4l3HZ8JoPb4mNsML,['k-rap'],14802457,76
Xiao Bing Chih,0Ej4GfzIcW3dWP0rC5d4x1,['mandopop'],83333,45
Charli xcx,25uiPmTg16RbhZWAqwLBy5,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",3832748,88
BABYMONSTER,1SIocsqdEefUTE6XKGUiVS,['5th gen k-pop'],2230976,75
Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",5724076,70
程響,7nKA1c1Qn6nI0XA8yburf3,"['chinese viral pop', 'mainland chinese pop']",29421,42
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['electro house'],39181133,81
The Creator,4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",15950444,85
BE'O,5NUVwRESNqYBUTRbiATjy7,['k-rap'],243444,54
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,['pop'],5685791,76
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,"['anime', 'j-pop']",6071712,73
CAELAN,7HGNYPmbDrMkylWqeFCOIQ,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",2297925,67
陈子晴,7Frhmp2DpaCwCkgnrrxSbX,['chinese viral pop'],4926,45
傻子與白痴,4rk0xYl7t3XftIQQedJjK4,"['taiwan indie', 'taiwan pop']",53088,38
NAV,7rkW85dBwwrJtlHRDkJDAC,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",3486027,72
WATTS,4B3aifxHtpcKHuNi12lmSt,[],8093,34
Wanfang,468BFRg8N0wGREo2L4TXZp,"['classic mandopop', 'mandopop']",61927,39
Kim Kyung Hee,35CFI6iSFTyM0scQKBu8eE,['korean ost'],34149,50
salem ilese,3QJUFtGBGL05vo0kCJZsmT,"['alt z', 'modern indie pop']",378379,63
Z-Chen,5rG61ghWZ2R4TDvCO7d0jw,"['chinese r&b', 'malaysian mandopop', 'mandopop']",50053,42
WeiBird,7y3HnWCFEvWj4KM9GFSkiX,"['chinese r&b', 'mandopop', 'taiwan singer-songwriter']",425893,55
梦然,6taSlFSqCqAEUHOliFyHt7,"['chinese viral pop', 'mainland chinese pop']",75673,50
Julia Peng,7B4GBM2vQJvwyghdsvEV77,"['chinese drama ost', 'classic mandopop', 'mandopop']",88131,40
h3R3,7dCN2w1Hq4EuDvdli56MML,['chinese viral pop'],12818,42
Yoko Ono,2s4tjL6W3qrblOe0raIzwJ,"['experimental', 'experimental pop']",137223,48
BOYNEXTDOOR,4hnHLgMSOiqERWBL4jINP1,['5th gen k-pop'],764345,65
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"['latin viral pop', 'pop', 'r&b en espanol']",8257815,80
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']",43090509,83
Kelly Cheng,1z3k20gEtPm6SKPGPvokDg,"['taiwan pop', 'taiwan singer-songwriter']",4898,24
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,"['boy band', 'pop']",7655339,74
Sunwoojunga,04L3elxyr0XFua2Ek3domW,"['k-indie', 'korean pop']",119642,46
VH (Vast & Hazy),2O6Fn6smW8hJ5x9rOUDPJc,['taiwan indie'],78889,38
SiM,2BM933ADIluGGrPBOhPgIt,"['japanese metalcore', 'japanese screamo']",396812,57
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'pop']",11809600,72
Ben Hum,4ATqdfAOYsKwaVVPEktade,[],2614,25
B.I,0UntV1Bw2hk3fbRrm9eMP6,['k-pop'],823916,57
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,['bronx drill'],4009269,77
小春Kenzy,5WdyavkKCvFR3g9BFkjDwk,['taiwan hip hop'],11701,30
柯智棠,3KdU8KfkDy7xHmQS00B5wd,"['taiwan indie', 'taiwan pop', 'taiwan singer-songwriter']",37957,31
J.Sheon,4DEItwf281SHmTnS8q3Mn9,"['mandopop', 'taiwan singer-songwriter']",176352,50
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",30932494,85
Shakin' Stevens,0wi4yTYlGtEnbGo4ltZTib,"['classic uk pop', 'rockabilly']",155918,50
Maximillian,2Q9c6ETFOkDDTy53U7DIgr,['gen z singer-songwriter'],475299,49
Bobby Helms,38EmEgXkgK51MT2tPY0EoC,[],46614,45
陶山,3UYfDWIkc85vmJlHDX9m61,['mecha'],110,12
曾瑋中,7zY8finbugZLFpNfwNe4qW,['hokkien pop'],3133,40
LadBaby,0gWa2AiDlbvF24aqoLT2c1,[],27386,20
DallasK,7uas0F5EhsZg6KDJ7yy7rW,"['complextro', 'dutch house', 'electro house', 'pop edm', 'progressive electro house', 'sky room']",45170,46
CORSAK,1TcbdifqhtxLz77unBYJ7z,['chinese electropop'],40754,51
Georgia Ku,5mYakBbBzPMQTfkVMIgiDM,['uk pop'],26070,56
张妙格,7q6xird8xFNzgqQi60dwmj,[],7498,44
HEIZE,5dCvSnVduaFleCnyy98JMo,"['k-pop', 'korean pop', 'korean r&b']",1162102,60
五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),7H6h9MXX9ms8IV2QGLrQSp,"['chinese r&b', 'mandopop', 'taiwan idol pop']",37301,35
OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",6621746,70
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,['rap'],8969073,89
Shadya Lan,7DlOy5eGnazhGg7iDvCCCX,"['mandopop', 'taiwan singer-songwriter']",29471,37
大籽,2NJLAUSe3Ifk9MiHbddRAi,['chinese viral pop'],31322,45
LEE CHAE YEON,2nkZR6LwPxaAVtaVitNIPT,[],504883,50
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",23066915,80
同理 Zunya,3tsoImRDSW4JEcL2CdIUmo,['chinese r&b'],4308,24
Jamie Miller,2LkkwxA19J8C52wPQl5bG6,"['pop soul', 'singer-songwriter pop']",620723,64
婁峻碩,40sntfyZsRwGfDgSJnxYuX,"['mandopop', 'taiwan hip hop']",132699,48
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,['pop'],38759198,87
BTOB,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']",1479502,54
Jutes,53fzjsJnjEKkA6TdncuIM4,[],110947,55
BoA,4muJrGMndyYWqZtfk8OWy4,['k-pop'],825463,53
rohan mills,68FDtFW7F3cM7FCxTh8XKb,[],332,8
Little Mix,3e7awlrlDSwF3iM0WBjGMp,"['girl group', 'pop', 'talent show', 'uk pop']",12006261,73
李佳薇,02Cz717BTulFiQXUuIXH6n,"['malaysian mandopop', 'mandopop']",154067,44
21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'hip hop', 'rap']",19667265,88
HyunA&DAWN,3UwlejyX2b458azZ7eCnHb,['k-pop'],2272451,51
Becky Hill,4EPJlUEBy49EX1wuFOvtjK,"['pop dance', 'pop house', 'uk dance', 'uk pop']",842046,74
Benson Boone,22wbnEMDvgVIAGdFeek6ET,['singer-songwriter pop'],3319931,85
Gummy B,6NJb7ZCMVLu2ZXwWJa2O3G,['cartoon'],209391,55
Joel Corry,6DgP9otnZw5z6daOntINxp,"['dance pop', 'pop dance', 'uk dance']",430054,72
MC.Mark_MC.DAGO,6rvpJW0joIu2yNvshX8VN0,[],0,16
Major Lazer,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",6177950,76
告五人,6xErgeZYatiaQ36SB5bvi8,"['mandopop', 'taiwan indie']",929998,60
Mika Nakashima,3D73KNJRMbV45N59E8IN0F,['j-pop'],803921,52
deca joins,5wbF4yfjaOjTSkrnucKA77,"['chinese indie', 'taiwan indie']",209940,44
TWS,4GgBKgxhc649frZDHcXIEz,['5th gen k-pop'],362179,62
Whyte,7KT7RFEMPdFMOTFl0we7G0,[],579,46
Gyubin,7nScMbyBG94XsSpe7yrImS,[],47208,50
Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",2281447,68
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"['indie pop', 'pov: indie']",2565346,89
DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",8777320,79
¥ellow Bucks,1Fe6FA7A57suR2KAaERpqH,"['j-rap', 'japanese trap']",237094,57
Regard,4ofCBoyEiGSePFAG500xev,"['pop dance', 'pop edm', 'slap house', 'uk dance']",256842,69
Masiwei,0fyaEHmSmZs2YWMgbruITA,"['chinese hip hop', 'sichuanese hip hop']",97169,48
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap', 'rap']",34906057,86
natori,6WmXWHmfBMhupyIs8MSqtu,['japanese teen pop'],786661,63
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"['memphis hip hop', 'rap']",8481697,77
Apink,2uWcrwgWmZcQc3IPBs3tfU,"['k-pop', 'k-pop girl group']",1225337,53
王ADEN,4ecBfM4xa6ZLDr7P8lsyTV,['chinese r&b'],40676,47
Rosa Walton,1X0HaTcdkHW7LviblBiEeq,[],38372,57
LOONA,52zMTJCKluDlFwMQWmccY7,"['k-pop', 'k-pop girl group']",2410243,55
ATEEZ,68KmkJeZGfwe1OUaivBa2L,"['k-pop', 'k-pop boy group']",4169219,74
Blue Kwok,46ii392aUgGZUt2rvBrv4m,['lo-fi rap'],167,17
予笙,6R4Ab1wjgy0XRMsmdiakp8,[],5,1
楊子平 ᏟᎪsᏢᎬᏒ,3ZvPuPIHI1Xhh0XvBLAhky,[],1064,45
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",57920481,90
柏霖PoLin,42UhEbkOaTEwJKWmf7xlfZ,['taiwan pop'],10635,35
A-Mei Chang,6noxsCszBEEK04kCehugOp,['mandopop'],972163,59
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",8814218,77
Ayanga,1c48HJvfsdzRQSr9svnE8B,['chinese singer-songwriter'],9738,35
ØZI,7Icsejk4pdIhkq2KO5A0jD,"['mandopop', 'taiwan hip hop']",213262,56
Tyson Yoshi,3dayhmhJfL4I8w1PuL9MqQ,"['hk-pop', 'hong kong hip hop']",89069,52
Sangpuy,7F0PfZK2IYJ1rPb344xQBi,[],59,21
Felix (Stray Kids),40zyx4iztMjRbIIoI802r4,[],132486,45
Loco,2e4G04F77jxVuDYo44TCSm,"['k-pop', 'k-rap', 'korean r&b']",464812,72
YUQI,22aCD8IrQZjcPgZw728QT6,[],746202,60
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,"['melodic rap', 'rap', 'trap']",2223918,80
Jay Chou,2elBjNSdBE2Y3f0j1mjrql,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",5922064,73
Myles Smith,3bO19AOone0ubCsfDXDtYt,['singer-songwriter pop'],663076,78
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",7437298,84
Haezee,0LestIkVCbetqsJ3o72Yzn,['chinese r&b'],8316,33
Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,"['boy band', 'pop']",3708181,66
Asiaboy 禁藥王 ＆ Lizi 栗子,460u7AKt1ZvsPMB0zoXuAQ,"['mandopop', 'taiwan hip hop']",36998,36
瘦子E.SO,2qXGNIlmY3JrYkxOWyXZsd,"['chinese r&b', 'mandopop', 'taiwan hip hop']",285332,51
GSoul,4oEXworvhegyK83rZwVyWL,"['k-rap', 'korean r&b']",229367,46
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",7863892,81
D.O.,2CQZr2RPZmrcvDnaod1ldC,['k-pop'],1965901,67
Dr. Beauty,2EqCLoWLxNjPIBQLRtNRE9,['taiwan hip hop'],2733,18
Ayumu Imazu,51fH9mmZDwz1mSgUmgQIjM,[],66847,51
Jung Yong Hwa,6zhAP0FoDccL9kuETOC20q,['korean pop'],219499,44
Nicholas Teo,2met7Idcy1Ze7hnoUtpPmX,"['malaysian mandopop', 'mandopop']",115155,44
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",7164236,79
MAX,2VZNmg4vCnew4Pavo8zDdW,"['compositional ambient', 'post-minimalism']",1006805,71
阿夫Suhf,1lIHC3tPoXBlSYQwSMoIYY,['chinese hip hop'],22027,34
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']",22866129,87
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['hip pop', 'pop']",15313334,78
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']",38281054,86
ZQS,6CvqU8itTtfpm1E8Pvez33,[],3925,50
Quavo,0VRj0yCOv2FXJNP47XQnx5,"['atl hip hop', 'melodic rap', 'rap', 'trap']",7551779,80
阿跨面,26QeJhwzQ5vwSNX8wH1t0D,['taiwan hip hop'],16349,36
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'urban contemporary']",10258894,77
Maggie Chiang,1BZg1ebq8ftAkalzJoGq7u,"['classic mandopop', 'mandopop', 'taiwan pop']",57523,39
Chunho,5Jvzp2OQHVKVVRNwrIJ9im,['cumbia sonidera'],62626,47
hirsk,1WxYe59SGsEY1e6fLII0hB,['hong kong indie'],1212,3
Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,['pop edm'],176035,61
10-FEET,0QZqdhoRQkn1VphAa5eX8h,"['j-pop', 'j-rock', 'japanese punk rock', 'japanese ska']",373887,55
icyball,4GsjZQZJ3viOq4Uw8wZDbW,['taiwan pop'],62711,51
Kelly Yu,5R56NYbLCC2HpOwlYBnmeN,"['mainland chinese pop', 'mandopop']",173400,45
Yoga Lin,1GPoTgvXd5OqZMF1akOsV2,"['chinese r&b', 'mandopop']",642606,53
nævis,2067CjQ2nC56cRZX8goeHg,[],25150,44
HA SUNG WOON,3OBkZ9NG8F0Fn4oNpg0yuU,['k-pop'],243748,54
Morray,44vREmJC0OlVZjZaGLqVEd,['pop rap'],248416,59
Ayo97,3RZsYqWpNRBTPoJ8oqsAwW,['chinese viral pop'],3145,43
蔡明仁,1v2EIlY1RxGD5b6eYNcyBo,[],980,22
BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']",75136549,86
BIBI,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']",9282064,80
22Bullets,18006kpQI473m1ICcpimQ9,"['sky room', 'slap house']",8836,44
Gary Yang,4iFznCrxI2nlVer46cgvWG,['taiwan pop'],1301,46
MIYEON,779v40cWIJUUoIDtC1IGaF,[],705734,46
The Edge,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",10881053,76
8lak,08MxYfoyNQpx314MAppI8w,['chinese r&b'],14075,41
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",10816526,81
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],98814719,91
JOY,0sYpJ0nCC8AlDrZFeAA7ub,['k-pop'],763562,49
卓義峯,0GVoNfTDWNN9TUXc4mx1FX,['taiwan pop'],3458,34
Wayne's so Sad,3mgkHRW7Rgkbx2gJb5TPl7,"['taiwan indie', 'taiwan punk']",54107,35
Jane Huang,3anb4BMiWghyicokBR8lwm,['mandopop'],11531,32
比莉,50PlAIy0jv3INiwksQtCeh,[],1432,20
E1and,2DV0CXWV5eMJlEmT1jYJwa,['taiwan hip hop'],10218,30
陳彥允,1EcDMTgoFzDOhKDzirfYCM,"['mandopop', 'taiwan pop']",14630,23
Toaka,0xFsJRSOYJmmuozISzreTR,[],23419,57
EyeballRay,363CQz6rPzByyhhWS1zUQq,['taiwan hip hop'],7482,35
Arcane,57nPqD7z62gDdq37US9XJR,[],189169,68
TAEIL,1z0Hi3myYw4x32xCq0H3aq,"['k-pop', 'korean pop']",388822,49
Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,"['soft rock', 'sophisti-pop']",1053627,59
Creepy Nuts,0pWR7TsFhvSCnbmHDjWgrE,['j-pop'],1218615,70
Patrick Brasca,1xCrrnnj9xif5G0y3ie5dM,['chinese r&b'],117357,57
A-do,24C7uNrWX2Iidb6X63vTGz,"['classic mandopop', 'mandopop', 'singaporean mandopop', 'singaporean pop']",92990,46
赵露思,02kfzFGTg4N70xlIO3hDvv,['chinese drama ost'],84784,50
Dwagie,6Mu480m4L6I1NiA07sKRLf,[],185,3
Lara Liang,4VgfrD5wuAoN428fBZNSyW,['mandopop'],32321,48
Missy Elliott,2wIVse2owClT7go1WT98tk,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",2519167,70
李芷婷,6MKG8dGJOKNwS2a8qZwtKs,"['chinese r&b', 'taiwan pop']",18473,30
WOOZI,4TdiASPlU3QdZvGQBothcQ,[],403052,47
徐暐翔,2xZkWvVTxC65o3dqETdfPm,[],4137,39
G5SH,0FQHLgDeg1QZGzkyRxAPRd,['chinese electropop'],14577,37
Shi Shi,4XKp9GFAQfsh2NflSRnHQi,"['mandopop', 'taiwan pop']",181199,49
Pank,4Qpbhxe0sO2zhvUVfODdZw,"['classic bollywood', 'filmi', 'ghazal']",6239316,59
司南,0xftsXB7VnOwibMhupkamE,"['chinese viral pop', 'zhongguo feng']",17931,40
緋村宗祐,4EZWkuxEGmujVRnCjVX1bf,['taiwan hip hop'],4165,20
Xian Zi,2CBuGdj5Nmgx1VfrgLnGoJ,"['mainland chinese pop', 'mandopop']",49845,49
ALEX CHOU,0zXp1zis13q1a2uCJgN9nq,['chinese r&b'],7852,21
Carolina Gaitán - La Gaita,29PgYEggDV3cDP9QYTogwv,['movie tunes'],65968,56
郁可唯,75CM5fojYdKYD0xYSFh22Z,"['mainland chinese pop', 'mandopop']",313140,51
Stunna Gambino,15ZjD8Gus20Miqw3fdOaXX,['nyc rap'],117288,49
棉子,6Y4Ur76H9vh8gw4QADaUKp,['chinese viral pop'],11969,45
Alok,0NGAZxHanS9e0iNHpR8f2W,"['electro house', 'pop nacional', 'slap house']",11290487,80
Lee Young Ji,0Y2AcMPMpeuPXtPQGVvRBq,['korean trap'],340172,64
青井,2Xs6HmQzPV5EhAtqZ8xVzP,['chinese r&b'],4096,23
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,['k-pop girl group'],1643178,66
Beyond,4F5TrtYYxsVM1PhbtISE5m,"['c-pop', 'cantopop', 'classic cantopop', 'hong kong rock']",608717,56
柯佳嬿,0L61ClriEEw74NE3HCTkAS,[],985,24
RAYE,5KKpBU5eC2tJDzf0wmlRp2,"['uk contemporary r&b', 'uk pop']",1588462,77
Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,"['alt z', 'gen z singer-songwriter']",487513,70
EVERGLOW,3ZZzT0naD25RhY2uZvIKkJ,"['k-pop', 'k-pop girl group']",2212575,59
誓言,39YbP9PakVwqfXFtRdn5vI,"['classic mandopop', 'mandopop']",58171,43
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,['contemporary country'],10358251,91
Quanzo,4IprNlQiJZUUJhDl0fL2SL,"['melodic rap', 'trap']",2671844,60
D.N.A,1oepyvIp0DGLIwkRxXEUmK,[],10580,33
LiSA,0blbVefuxOGltDBa00dspv,"['anime', 'anime rock', 'j-pixie', 'j-pop']",3182617,67
Cherish,1c70yCa8sRgIiQxl3HOEFo,"['atl hip hop', 'girl group', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",628147,64
Katy Perry,6jJ0s89eD6GaHleKKya26X,['pop'],34111973,85
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],42305459,85
Stray Kids,2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'k-pop boy group', 'pop']",16444239,85
Flesh Juicer,78ltY2tUrZpkWJ9CWYGZfl,"['chinese metalcore', 'taiwan metal', 'taiwan pop']",50907,39
Saweetie,6cK3NBO6uP7hh0oyuVELFl,"['cali rap', 'trap queen']",2312990,70
Tatsuya Kitani,7mvhRvEAHiCTQHUnH7fgnv,['japanese electropop'],442377,68
宋芸樺,0cklR29Gsyww5YnriK9xJm,[],260,27
李浩瑋 Howard Lee,7EkkWNWPiWFQ0rA9IEmMXs,['chinese r&b'],76797,54
2PM,5iRPbkcPmqAFFwDUj6ywVS,"['k-pop', 'k-pop boy group']",827657,52
aespa,6YVMFz59CuY7ngCxTxjpxE,['k-pop girl group'],6139901,80
珂拉琪 Collage,1YtYHaWLV0IU7SwhvG6Luk,['taiwan indie'],64339,39
Torine,2jku7tDXc6XoB6MO2hFuqg,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6928960,81
ACRAZE,4pnp4w9g30yLfVIAFnZMRd,"['pop dance', 'tech house']",132589,65
小安,12QGPbN0fnuIlyEKxUlVo3,"['mandopop', 'taiwan pop']",10931,32
Ann Bai,6ytn3LGlsoOgU3YGF9T42s,['mandopop'],54114,39
Sam Lin,3EiW2e93LzyelaCJzRlNl1,['taiwan pop'],10123,39
EggPlantEgg,6g641431O1Xkl7HAs2yFEg,"['mandopop', 'taiwan indie', 'taiwanese indie']",519001,54
Warren Hue,4qcKNkdxUidhvUByB2eQ6g,['bedroom r&b'],84275,50
Lee Joomyung,4dN1DsKUXV6xugiarFBAa6,[],447,42
小时,6p8l16nIXK0EBQpjZWSzrt,['zhongguo feng'],7785,35
邱軍,5LKh6CH11tVjyXpxz2NjFW,[],8299,52
Sarah Rebecca,58obmxGKVKCenZAkACSMgJ,[],9174,52
Ludacris,3ipn9JLAPI5GUEo4y4jcoi,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3062673,77
Bestards,0Awqm7GXGiBp8fJNGvywra,"['mandopop', 'taiwan indie']",163040,59
Eason Chan,2QcZxAgcs2I1q7CtCkl6MI,"['c-pop', 'cantopop', 'mandopop']",2959241,65
Elley Duhé,67MNhiAICFY6Pwc2YxCO0K,['alt z'],572672,75
Alan Kuo,3LyN3dzJjv35T1XcDysnZG,"['mandopop', 'taiwan pop']",36320,34
Bizarrap,716NhGYqD1jl2wI1Qkgq36,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",16159396,82
陳嫺靜,4wbipbaGeTXkuF5paNuJqB,"['taiwan indie', 'taiwan pop']",41652,39
彈殼Danko,3fkwbLdzv3rzPg19f2YHOL,['chinese hip hop'],9763,31
JEON SOYEON,6Xg22wJOAcnvPUfk5WvODH,['k-pop'],1543734,53
Crowd Lu,2JBUyLiFvpFPWdZGqIGYLD,"['mandopop', 'taiwan indie', 'taiwan singer-songwriter']",506617,53
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"['dance pop', 'pop', 'pop rap']",8319508,80
pH-1,2u7CP5T30c8ctenzXgEV1W,"['k-rap', 'korean r&b']",448103,57
PSY,2dd5mrQZvg6SmahdgVKDzh,"['k-rap', 'korean old school hip hop']",1615083,63
VIVIZ,7Lq3yAtwi0Z7zpxEwbQQNZ,"['k-pop', 'k-pop girl group']",664771,58
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,['pop'],12037981,78
F.I.R.,5oqLnVZzJJXE3YnzzZfRKu,['mandopop'],134917,52
Queen Wei,3nViOFa3kZW8OMSNOzwr98,"['pop r&b', 'r&b']",3099935,58
