Artist_name,Artist_id,Artist_genres,Artist_followers,Artist_popularity
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']",53945441,88
DOYOUNG,5IMXUzbeAyevQmvtOhXQGi,['k-pop'],795341,58
Takuya Kuroda,4DbVGBurfbrdLW2ZwfwdmP,"['contemporary jazz', 'indie jazz', 'japanese jazz']",126823,39
77Ke 柯棨棋,2O7SMn3bTBCSb4sNglNkcJ,[],4082,23
Gordon Flanders,2yMjXqAPoOehNikcWBRdfD,['chinese r&b'],12086,34
Smrtdeath,4NYeChhB65zL0ywl4rHmSk,"['canadian trap', 'cloud rap', 'dark trap', 'emo rap']",108083,36
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,"['edm', 'pop dance', 'progressive electro house']",3817266,76
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']",9183128,73
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",12176198,80
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,['japanese teen pop'],3446819,72
Imanbek,5rGrDvrLOV2VV8SCFVGWlj,"['electro house', 'pop dance', 'slap house']",243776,70
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,"['pop', 'pop dance', 'tropical house', 'uk dance']",3762246,73
Victor Ma,4N5fp4zhTsVITZTVfsXpc2,"['latin pop', 'modern salsa', 'salsa', 'salsa peruana', 'salsa puertorriquena', 'tropical']",1970196,64
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,['colombian pop'],7723710,84
TRASH,3rt96VXGtEgD4uSOJ6B69H,['phonk brasileiro'],187698,67
唐仲彣,2AXIg0cc8pzzVcNnE3sSI6,['taiwan hip hop'],1403,25
SPYAIR,7gRg6C2qgQ1F01k3sgyEVt,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock']",589309,61
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pop']",12154500,78
Karena Lam,5sIpD4IMJlqyaNxA8qNTnJ,['cantopop'],3508,21
Ryan.B,78EWtfjj7daNa4FrTSPQsD,['chinese hip hop'],58552,54
Eve Ai,6eLpNMX3ZygSrUuxAlIWIx,"['mandopop', 'taiwan singer-songwriter']",205465,45
Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,['indie r&b'],585456,68
Ai Higuchi,4GxWcui9BlMJH9VOOK5wav,['japanese alternative pop'],104234,52
David Tao,40tNK2YedBV2jRFAHxpifB,"['chinese r&b', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']",685367,61
AKMU,6OwKE9Ez6ALxpTaKcT5ayv,['k-pop'],1699807,61
赵方婧,4P2x3pFDSDXPLOKWSqUire,"['chinese viral pop', 'zhongguo feng']",16441,46
Silk Ye,1OyML8UXqmlHP7JHexdJVl,['chinese viral pop'],19404,48
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop'],12408295,75
Yo Lee,1D2LuIU6rgg0MGa0l8wYJh,"['mandopop', 'taiwan pop', 'taiwan singer-songwriter']",58715,37
Fire EX.,7qBIgabdHdcr6NLujDxWAU,"['mandopop', 'taiwan indie', 'taiwan pop', 'taiwan punk']",111039,46
Grady Guan,2aFNEQB9JnQ171stH9Ljh5,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",5987,37
Crim!nal,6uJ51uV5rYzu1MJkC4CceI,"['breaks', 'experimental house']",44970,60
Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,"['mainland chinese pop', 'mandopop']",192409,48
Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",5943409,74
洋蔥,6Q6qP18xDxLbiw0um1t7pw,[],2927,18
开一枪,2l5m4pAZsByhzQUbj5cOQt,['chinese viral pop'],2427,36
Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,['hollywood'],61319,67
莫宰羊,2yN7qnZbV8krGJEB16nUOe,['taiwan hip hop'],63533,41
Yisa Yu,75CM5fojYdKYD0xYSFh22Z,"['mainland chinese pop', 'mandopop']",313140,51
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']",9282064,80
JAURIM,6evmYxFbDSIHilUaYC9MhL,"['k-indie', 'k-rock']",72119,41
李宜柏PAULYBLEE,6rCZx04nawchlA7kTA0c9v,['chinese r&b'],1607,21
Brandy,05oH07COxkXKIMt6mIPRee,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",3682946,69
Becky G,4obzFoKoKRHIphyHzJ35G3,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",14921941,78
芒果醬 Mango Jump,1t1GIb4bb1lARAXwWEekUN,['taiwan rock'],29086,47
Who Cares 胡凱兒,0AiFba38vwZy2L1SJGX4mW,['taiwan indie'],16144,38
結束バンド,2nvl0N9GwyX69RRBMEZ4OD,[],479536,63
Whee In,0BqRGrwqndrtNkojXiqIzL,"['k-pop', 'korean ost']",926429,50
Tiger Hu,3PpIzdLny8HwTnKp9joXdj,"['mainland chinese pop', 'mandopop']",127949,46
Beat Record,68a5FFsJZ9qs2HPBKAyA1X,"['binaural', 'brain waves', 'sleep']",1814,29
泱泱,3wB3DaQL9pMokNEDkWJiPm,[],772,13
Boy In Space,0xu4jAQQv7ZAqvFGdc9HgP,['alt z'],218306,51
chilldspot,4uJKSLGvdvinobijrcfKw4,"['japanese alternative rock', 'japanese r&b', 'japanese soul']",84219,42
Joji,3MZsBdqDrRTJihTHQrO6Dq,['viral pop'],9702410,78
Wen Wei,12LXmUdAbhmRP9CCa7wGHn,[],4828,6
Sweet John,78UcIEW1VFh2WOgNk0E7mm,['taiwan indie'],98519,39
Lil Wayne,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",15010190,85
Kim Na Young,4dvmLXorXADxVq8EcySEWk,['korean pop'],201708,53
王忻辰,61JBbdne26KjmyvOzjloSU,['chinese viral pop'],21839,53
NewJeans,6HvZYsbFfjnjFrWF950C9d,"['k-pop', 'k-pop girl group']",8765464,82
ZUTOMAYO,38WbKH6oKAZskBhqDFA8Uj,['j-pop'],1884137,64
Beenzino,7IrDIIq3j04exsiF3Z7CPg,"['k-rap', 'korean r&b']",273124,50
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15061662,75
Da Mouth,0f5x4P8SybbRdpVr4idUwd,['mandopop'],46935,35
Kim Sawol,08J6v4qHZz06ua0qAicWmE,"['k-indie', 'korean indie folk', 'korean singer-songwriter']",25102,41
GRAY,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']",9958743,78
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop', 'rap']",46199723,87
張哲瀚,1DMI6oQrrt8rVMVN83jXA7,[],54837,63
Lo 5ibe,5YzAd0rfhycjIWj4IeHznH,[],66,8
SOOJIN,0kB3Vlf3xDNZQz6NjAPJV8,['5th gen k-pop'],391213,47
mgk,6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop rap']",5336920,79
JID,6U3ybJ9UHNKEdsH7ktGBZ7,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",1840223,77
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,"['alt z', 'dance pop', 'pop', 'transpop']",1116821,75
Overdose,6WmXWHmfBMhupyIs8MSqtu,['japanese teen pop'],786661,63
王昱辰,3I5ejA025f2DSnkD414Lny,[],83,12
張洢豪,5kzjeV6bqyVmLPQfx5kfL1,['chinese r&b'],14065,46
WiFi歪歪,5uGeHZ02omg34B94jO9FOG,[],8096,40
ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ,3PvbcfORzI3TVPlBxsTmhU,[],36512,52
ZEROBASEONE,7cjg7EkeZy3OI5o9Qthc6n,['5th gen k-pop'],697181,63
effie,3rLCUhRjMFWYTJd1C4LkG0,[],2195,48
sodagreen,3WYT2b8pOLsLsqSaoWYr7U,['mandopop'],596721,59
KATSEYE,3c0gDdb9lhnHGFtP4prQpn,['5th gen k-pop'],159569,65
李艺皓,3RkdkgucsJ7p8wSphxSHT8,[],165,42
Younha,6GwM5CHqhWXzG3l5kzRSAS,['korean pop'],453427,52
Sam Fischer,6L1XC7NrmgWRlwAeLJvVtA,"['australian pop', 'singer-songwriter pop']",284455,60
163 braces,6gtUGnqU4qnJ2ZB2bvp5TZ,[],35741,39
ABAO,0LcJLqbBmaGUft1e9Mm8HV,"['europop', 'swedish pop']",12674737,81
Black MIC,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']",50449007,80
R-chord,5XkrVVn0lQIVPkH55nbTgZ,"['mandopop', 'taiwan singer-songwriter']",162712,47
吕口口,3Wscg8TgjGseAke9eOrwDC,['chinese viral pop'],15120,46
九澤CP,7JRMSnpii2F9B7JlqRGiYR,"['taiwan idol pop', 'taiwan pop']",26518,36
Zhang Bichen,7n6JzP9GxGVVzXG0t0gLu3,['mainland chinese pop'],229950,55
LeeHi,7cVZApDoQZpS447nHTsNqu,['k-pop'],1773886,65
Young,7wlFDEWiM5OoIAt8RSli8b,"['baton rouge rap', 'rap']",12987624,81
HAIM,4Ui2kfOqGujY81UcPrb5KE,"['indietronica', 'metropopolis']",1331163,63
WANMEI,6FBDaR13swtiWwGhX1WQsP,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",8406295,78
Vinida Weng,6oYvpkS6pM9ts4nbXRaINg,['chinese hip hop'],51360,41
H.E.R.,3Y7RZ31TRPVadSFVy1o8os,"['r&b', 'rap']",7783766,75
音阙诗听,6JZIgN9gEgNSS8lY5pmwbx,"['chinese viral pop', 'mainland chinese pop', 'zhongguo feng']",106938,51
G22,4DsCOCoIUvUKVDDY8OW3lU,['p-pop'],39252,41
Henry Moodie,7hr9W3IjXcm3UlLY7guLk5,['singer-songwriter pop'],527378,68
JIHYO,7F1iAHRYxR3MY7yAEuFqgL,[],826551,57
很美味,5qlx1DAdpjiAqMK8m5ijFN,[],3976,37
Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",14379286,81
那英,35ig3ZjuqVyGeovLsj4xNm,"['classic mandopop', 'mainland chinese pop', 'mandopop']",204323,44
B. Swanson Quartet,0JXiS2FrAg3wQYJHcmZdrc,[],805,34
Camilo,28gNT5KBp7IjEOQoevXf9N,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']",19133641,81
GEMN,7AUc6z9aVJftqLkiWdQ1ew,[],19506,60
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,"['pop', 'uk pop']",23157334,76
Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,['singer-songwriter pop'],525089,69
NCT DOJAEJUNG,0W0w607z3JEA1vXLz9FVGw,"['5th gen k-pop', 'k-pop boy group']",482206,50
Marcus Lee,18G699wFEzXLGHsgsDZyYj,['singaporean singer-songwriter'],2886,29
阿涵,0Nu7uGMynoaIdKnfLRgxJ8,"['chinese viral pop', 'mainland chinese pop', 'mandopop']",88701,46
Bono,0cmWgDlu9CwTgxPhf403hb,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",1399185,63
will.i.am,085pc2PYOi8bGKj0PNjekA,"['dance pop', 'pop']",4180570,74
Cosmos People,0tNjyz75Px29Yuf1sjs25G,"['mandopop', 'taiwan pop']",106320,47
The Chairs,69GGBxA162lTqCwzJG5jLp,['pop'],20382875,82
Paris Hilton,1vkJFCwstOoJO7yQ4lTtLK,"['dance pop', 'post-teen pop']",785828,56
MARK,70DFixYAFPv4Pf9kgSfR9O,['k-pop'],775305,53
Laufey,7gW0r5CkdEUMm42w9XpyZO,['gen z singer-songwriter'],4893360,81
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",2478596,76
Tems,687cZJR45JO7jhk1LHIbgq,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",2179829,78
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'pop', 'pov: indie', 'rock']",24532430,82
WOOSUNG,5LHu1iF8m0XtRBEJbbwSoo,"['k-pop', 'korean ost']",768917,56
安溥,7m3hJRouj4fFil1ksJDx0I,"['chinese indie', 'taiwan pop', 'taiwan singer-songwriter']",94806,41
P!nk,1KCSPY1glIKqW2TotWuXOR,"['dance pop', 'pop']",16974189,81
Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2111136,68
Buddha Jump,43k1nPBByWctkFAvo16Xbc,"['chinese indie', 'taiwan indie']",10433,30
WJSN,6hhqsQZhtp9hfaZhSd0VSD,"['k-pop', 'k-pop girl group']",901584,48
INHON,1rOvj5saGbGsqoDTxQEX3J,['taiwan hip hop'],11450,33
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,['pop soul'],1102093,76
