date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-11,1,Seven (feat. Latto),"Jung Kook, Latto",1,1,60,"84,973",7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc
2023-09-11,2,我会等,承桓,1,2,160,"55,975",5Rzpn60KTM11EBETHaF9Kt,3ZYhFl4nztqc9vx35vKdUI
2023-09-11,3,想和你看五月的晚霞,陳華,3,3,310,"47,927",6pFxVcn6T4BdP8mfZpTQHZ,5ZxRmJ21NzjxD2ZGBxi7um
2023-09-11,4,Super Shy,NewJeans,1,4,67,"45,557",5sdQOyqq2IDhvmx2lHOpwd,6HvZYsbFfjnjFrWF950C9d
2023-09-11,5,Slow Dancing,V,5,6,4,"44,513",5h1BN75CEh8wdSwE1xrbSe,3JsHnjpbhX4SnySpvpa9DK
2023-09-11,6,Queencard,(G)I-DLE,1,5,120,"41,834",4uOBL4DDWWVx4RhYKlPbPC,2AfmfGFbe0A0WsTYm0SDTx
2023-09-11,7,字字句句,卢卢快闭嘴,6,7,106,"41,138",7fAdinC2UTc0Y9GiKrkTtu,4wUR1NviIGE01yEfeLNkeV
2023-09-11,8,SPECIALZ,King Gnu,7,10,11,"39,419",0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2
2023-09-11,9,Love Me Again,V,6,8,32,"37,339",2N0SPREDYqILVEFSsWF5N5,3JsHnjpbhX4SnySpvpa9DK
2023-09-11,10,毒藥,Xiao Bing Chih,7,9,508,"36,413",5VymCvfV0FguCa7zrIPSgk,0Ej4GfzIcW3dWP0rC5d4x1
2023-09-11,11,烏梅子醬,Ronghao Li,1,11,207,"32,071",4p9jbhD6N7HpuECGusu6iT,0rTP0x4vRFSDbhtqcCqc8K
2023-09-11,12,不是因為天氣晴朗才愛你,Bestards,4,12,1165,"31,435",2VEt42QSQxILgEf9B50xxm,0Awqm7GXGiBp8fJNGvywra
2023-09-11,13,訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,2,15,386,"30,700",6la3Kme7O7D01fJPxgpAS5,7hmSHY9HVVQKejpGbPbo16
2023-09-11,14,OMG,NewJeans,1,14,253,"30,262",65FftemJ1DbbZ45DUfHJXE,6HvZYsbFfjnjFrWF950C9d
2023-09-11,15,我就想你,Bestards,8,13,376,"30,196",0Eh0C7rpC5E0sPy4OcLdsq,0Awqm7GXGiBp8fJNGvywra
2023-09-11,16,"如果可以 - 電影""月老""主題曲",WeiBird,1,16,676,"28,666",72OVnXDzugvrCU25lMi9au,7y3HnWCFEvWj4KM9GFSkiX
2023-09-11,17,Love U Like That,Lauv,16,19,37,"28,341",3rmqiQbzPDx7A8p88IRFKg,5JZ7CnR6gTvEMKX4g70Amv
2023-09-11,18,アイドル,YOASOBI,2,20,153,"27,970",7ovUcF5uHTBRzUpB6ZOmvt,64tJ2EAv1R6UaZqc4iOCyj
2023-09-11,19,Rainy Days,V,13,21,32,"27,562",5ydjxBSUIDn26MFzU3asP4,3JsHnjpbhX4SnySpvpa9DK
2023-09-11,20,青のすみか,Tatsuya Kitani,10,26,67,"27,475",12usPU2WnqgCHAW1EK2dfd,7mvhRvEAHiCTQHUnH7fgnv
2023-09-11,21,I AM,IVE,2,18,155,"27,417",70t7Q6AYG6ZgTYmJWcnkUM,6RHTUrRF63xao58xh9FXYJ
2023-09-11,22,Paint The Town Red,Doja Cat,22,29,34,"27,093",2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5
2023-09-11,23,Cruel Summer,Taylor Swift,10,23,86,"26,918",1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
2023-09-11,24,眼淚記得你 - 電影《想見你》主題曲,Shi Shi,2,17,263,"26,889",0USeB0Tykai3QZj5YAUclG,4XKp9GFAQfsh2NflSRnHQi
2023-09-11,25,Fast Forward,JEON SOMI,10,30,36,"26,346",7jzOZuWgZ5gaMet9V5Ix1d,7zYj9S9SdIunYCfSm7vzAR
2023-09-11,26,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",Eric Chou,2,25,417,"25,967",2OR5FUKy3GQ7I9DCbRnfsW,5fEQLwq1BWWQNR8GzhOIvi
2023-09-11,27,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,11,27,60,"25,749",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH
2023-09-11,28,从前说,小阿七,4,24,223,"25,334",3t5edAHbyFEW67wFApp7EO,7tDLiRbNQalA5uvTpX2bKh
2023-09-11,29,FLOWER,JISOO,1,22,165,"24,899",69CrOS7vEHIrhC2ILyEi0s,6UZ0ba50XreR4TM8u322gs
2023-09-11,30,Ditto,NewJeans,1,28,267,"24,833",3r8RuvgbX9s7ammBn07D3W,6HvZYsbFfjnjFrWF950C9d
2023-09-11,31,摯友,Eric Chou,4,35,118,"24,446",5evE7bweEhX83fd1ZmwPjP,5fEQLwq1BWWQNR8GzhOIvi
2023-09-11,32,摯友,A-Lin,4,34,119,"24,346",1bQHKplf5fkkecalhAgYp0,28gf2piFx6cAKOMIwcky5a
2023-09-11,33,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",1,31,445,"24,027",5Odq8ohlgIbQKMZivbWkEo,6VuMaDnrHyPL1p4EHjYLi7
2023-09-11,34,是你.,政学Zed-X,20,37,130,"23,578",3fiXwwPL7cUvD7BqkHdN0J,7DAjUaK40De066EOFR6fxB
