date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-10,1,Seven (feat. Latto),"Jung Kook, Latto",1,1,59,"85,393",7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc
2023-09-10,2,我会等,承桓,1,2,159,"57,480",5Rzpn60KTM11EBETHaF9Kt,3ZYhFl4nztqc9vx35vKdUI
2023-09-10,3,想和你看五月的晚霞,陳華,3,3,309,"49,728",6pFxVcn6T4BdP8mfZpTQHZ,5ZxRmJ21NzjxD2ZGBxi7um
2023-09-10,4,Super Shy,NewJeans,1,5,66,"47,730",5sdQOyqq2IDhvmx2lHOpwd,6HvZYsbFfjnjFrWF950C9d
2023-09-10,5,Queencard,(G)I-DLE,1,4,119,"47,144",4uOBL4DDWWVx4RhYKlPbPC,2AfmfGFbe0A0WsTYm0SDTx
2023-09-10,6,Slow Dancing,V,6,7,3,"41,764",5h1BN75CEh8wdSwE1xrbSe,3JsHnjpbhX4SnySpvpa9DK
2023-09-10,7,字字句句,卢卢快闭嘴,6,6,105,"40,396",7fAdinC2UTc0Y9GiKrkTtu,4wUR1NviIGE01yEfeLNkeV
2023-09-10,8,Love Me Again,V,6,8,31,"36,870",2N0SPREDYqILVEFSsWF5N5,3JsHnjpbhX4SnySpvpa9DK
2023-09-10,9,毒藥,Xiao Bing Chih,7,9,507,"36,700",5VymCvfV0FguCa7zrIPSgk,0Ej4GfzIcW3dWP0rC5d4x1
2023-09-10,10,SPECIALZ,King Gnu,7,11,10,"33,962",0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2
2023-09-10,11,烏梅子醬,Ronghao Li,1,10,206,"33,658",4p9jbhD6N7HpuECGusu6iT,0rTP0x4vRFSDbhtqcCqc8K
2023-09-10,12,不是因為天氣晴朗才愛你,Bestards,4,15,1164,"31,804",2VEt42QSQxILgEf9B50xxm,0Awqm7GXGiBp8fJNGvywra
2023-09-10,13,我就想你,Bestards,8,13,375,"31,206",0Eh0C7rpC5E0sPy4OcLdsq,0Awqm7GXGiBp8fJNGvywra
2023-09-10,14,OMG,NewJeans,1,14,252,"31,116",65FftemJ1DbbZ45DUfHJXE,6HvZYsbFfjnjFrWF950C9d
2023-09-10,15,訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,2,12,385,"31,069",6la3Kme7O7D01fJPxgpAS5,7hmSHY9HVVQKejpGbPbo16
2023-09-10,16,"如果可以 - 電影""月老""主題曲",WeiBird,1,16,675,"30,453",72OVnXDzugvrCU25lMi9au,7y3HnWCFEvWj4KM9GFSkiX
2023-09-10,17,眼淚記得你 - 電影《想見你》主題曲,Shi Shi,2,20,262,"28,303",0USeB0Tykai3QZj5YAUclG,4XKp9GFAQfsh2NflSRnHQi
2023-09-10,18,I AM,IVE,2,18,154,"28,226",70t7Q6AYG6ZgTYmJWcnkUM,6RHTUrRF63xao58xh9FXYJ
2023-09-10,19,Love U Like That,Lauv,16,22,36,"28,055",3rmqiQbzPDx7A8p88IRFKg,5JZ7CnR6gTvEMKX4g70Amv
2023-09-10,20,アイドル,YOASOBI,2,19,152,"27,958",7ovUcF5uHTBRzUpB6ZOmvt,64tJ2EAv1R6UaZqc4iOCyj
2023-09-10,21,Rainy Days,V,13,21,31,"27,882",5ydjxBSUIDn26MFzU3asP4,3JsHnjpbhX4SnySpvpa9DK
2023-09-10,22,FLOWER,JISOO,1,17,164,"27,746",69CrOS7vEHIrhC2ILyEi0s,6UZ0ba50XreR4TM8u322gs
2023-09-10,23,Cruel Summer,Taylor Swift,10,24,85,"27,246",1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
2023-09-10,24,从前说,小阿七,4,23,222,"26,613",3t5edAHbyFEW67wFApp7EO,7tDLiRbNQalA5uvTpX2bKh
2023-09-10,25,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",Eric Chou,2,25,416,"26,589",2OR5FUKy3GQ7I9DCbRnfsW,5fEQLwq1BWWQNR8GzhOIvi
2023-09-10,26,青のすみか,Tatsuya Kitani,10,30,66,"26,097",12usPU2WnqgCHAW1EK2dfd,7mvhRvEAHiCTQHUnH7fgnv
2023-09-10,27,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,11,27,59,"25,933",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH
2023-09-10,28,Ditto,NewJeans,1,29,266,"25,623",3r8RuvgbX9s7ammBn07D3W,6HvZYsbFfjnjFrWF950C9d
2023-09-10,29,Paint The Town Red,Doja Cat,29,31,33,"25,426",2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5
2023-09-10,30,Fast Forward,JEON SOMI,10,26,35,"25,424",7jzOZuWgZ5gaMet9V5Ix1d,7zYj9S9SdIunYCfSm7vzAR
2023-09-10,31,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",1,36,444,"24,495",5Odq8ohlgIbQKMZivbWkEo,6VuMaDnrHyPL1p4EHjYLi7
2023-09-10,32,小城夏天,LBI利比,16,28,415,"24,453",4QZMBVrBLAvBryj8ZJIIY2,1xMn0bhYRWHDV01mU8gP1J
2023-09-10,33,Letting Go,Tanya Chua,14,32,451,"24,329",6FSOibqLCbhFrmGdqMbwiZ,376pcuw4IgWBMOUwCr8kIm
2023-09-10,34,摯友,A-Lin,4,33,118,"24,308",1bQHKplf5fkkecalhAgYp0,28gf2piFx6cAKOMIwcky5a
2023-09-10,35,摯友,Eric Chou,4,35,117,"24,044",5evE7bweEhX83fd1ZmwPjP,5fEQLwq1BWWQNR8GzhOIvi
2023-09-10,36,Without You,高爾宣 OSN,1,37,1620,"23,887",0KWnRv3wxjltYVB3MqjNd2,4TcOznbEZBqev21LzAH4KE
2023-09-10,37,是你.,政学Zed-X,20,38,129,"23,626",3fiXwwPL7cUvD7BqkHdN0J,7DAjUaK40De066EOFR6fxB
2023-09-10,38,Slow Dancing (Piano Ver.),V,38,45,3,"23,549",7pgbDdy7ax962o9d2xJceV,3JsHnjpbhX4SnySpvpa9DK
2023-09-10,39,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,1,43,1393,"23,384",69zgyr5HVKdInjeKpq1qHa,3TtgOeQcNkf9WVDA4xPBJM
2023-09-10,40,披星戴月的想你,告五人,15,40,1699,"23,201",7tgzj2IqzSgUpxUhjmcF5m,6xErgeZYatiaQ36SB5bvi8
2023-09-10,41,最好的時光,安溥,1,34,72,"23,196",0eFRk9wgFPxg6iXhDjvGAo,7m3hJRouj4fFil1ksJDx0I
2023-09-10,42,就让这大雨全都落下,Joey Yung,23,39,130,"23,142",0J3GWS0Bv6I1reM1J69UBM,2zzKlxMsKTPMsZacZCPRNA
2023-09-10,43,ETA,NewJeans,6,41,52,"22,903",56v8WEnGzLByGsDAXDiv4d,6HvZYsbFfjnjFrWF950C9d
2023-09-10,44,慢冷,Fish Leong,11,42,1579,"22,748",3NNDJfWMGHuNpvHWTImmlW,3aIDSTKS9yH745GUQBxDcS
2023-09-10,45,Hype Boy,NewJeans,5,44,406,"22,386",0a4MMyCrzT0En247IhqZbD,6HvZYsbFfjnjFrWF950C9d
2023-09-10,46,一念之間,告五人,11,49,209,"22,025",0XEEIG7IVzJUdkCg6taS9d,6xErgeZYatiaQ36SB5bvi8
2023-09-10,47,Somebody Else,高爾宣 OSN,23,47,409,"21,364",6gOZzuHIApHtAPTelkOMUc,4TcOznbEZBqev21LzAH4KE
2023-09-10,48,仗着,陈壹千,20,46,210,"21,132",2hSRWmpK1gSuMTF3IvXfcC,21pP8kvWpNCDhy2fMOTOAf
2023-09-10,49,你是我這輩子最想愛的呀,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),35,48,8,"20,775",4NF4arILnIdBOZu2FkRV8P,7H6h9MXX9ms8IV2QGLrQSp
