date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,39,你是我這輩子最想愛的呀,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),35,44,11,"23,390",4NF4arILnIdBOZu2FkRV8P,7H6h9MXX9ms8IV2QGLrQSp
2023-09-13,40,就让这大雨全都落下,Joey Yung,23,41,133,"22,960",0J3GWS0Bv6I1reM1J69UBM,2zzKlxMsKTPMsZacZCPRNA
2023-09-13,41,小城夏天,LBI利比,16,40,418,"22,890",4QZMBVrBLAvBryj8ZJIIY2,1xMn0bhYRWHDV01mU8gP1J
2023-09-13,42,Somebody Else,高爾宣 OSN,23,42,412,"22,620",6gOZzuHIApHtAPTelkOMUc,4TcOznbEZBqev21LzAH4KE
2023-09-13,43,ETA,NewJeans,6,39,55,"22,613",56v8WEnGzLByGsDAXDiv4d,6HvZYsbFfjnjFrWF950C9d
2023-09-13,44,有些,颜人中,16,49,805,"21,906",3V2v19gDm4rmRkMwcgS4X2,5PNcqs6EtD6gSXgUiiJIUU
2023-09-13,45,Hype Boy,NewJeans,5,47,409,"21,865",0a4MMyCrzT0En247IhqZbD,6HvZYsbFfjnjFrWF950C9d
2023-09-13,46,披星戴月的想你,告五人,15,46,1702,"21,711",7tgzj2IqzSgUpxUhjmcF5m,6xErgeZYatiaQ36SB5bvi8
2023-09-13,47,Slow Dancing (Piano Ver.),V,38,45,6,"21,659",7pgbDdy7ax962o9d2xJceV,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,48,慢冷,Fish Leong,11,48,1582,"21,515",3NNDJfWMGHuNpvHWTImmlW,3aIDSTKS9yH745GUQBxDcS
2023-09-13,49,一念之間,告五人,11,43,212,"21,201",0XEEIG7IVzJUdkCg6taS9d,6xErgeZYatiaQ36SB5bvi8
2023-09-13,50,晴天,Jay Chou,18,50,1066,"19,966",0F02KChKwbcQ3tk4q1YxLH,2elBjNSdBE2Y3f0j1mjrql
2023-09-13,51,毒药,周星星,51,59,18,"19,302",60PL1vtOCFBXwwZeQlVHN9,21G0EtHm49HAvOa0Au4PMp
2023-09-13,52,Dance The Night - From Barbie The Album,Dua Lipa,17,52,59,"19,148",1vYXt7VSjH9JIM5oRRo7vA,6M2wZ9GZgrQXHCFfjv46we
2023-09-13,53,擱淺,Jay Chou,26,51,605,"19,090",4Rt9k4SE8dbfKzngxKJPq9,2elBjNSdBE2Y3f0j1mjrql
2023-09-13,54,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",1,54,797,"17,857",567e29TDzLwZwfDuEpGTwo,2tIP7SsRs7vjIcLrU85W8J
2023-09-13,55,愛人錯過,告五人,12,55,1026,"17,569",27FOde2nUw0pFuj7hlPbaS,6xErgeZYatiaQ36SB5bvi8
2023-09-13,56,飞鸟和蝉,Ren Ran,1,62,1114,"17,261",6XBL9naPxZjATbmGAWGJ9V,6f4srX54JFrLNK4aTJe2Sc
2023-09-13,57,炙愛 - 女聲版,Vicky Chen,9,56,1280,"17,252",3CEkc8f1UDvI7kohz3ARpA,01u3qI3xMGFvktXyRSMGRZ
2023-09-13,58,想太多,Nicky Lee,19,64,318,"17,114",7IiSESHLOtsoEXTlXa0bjJ,6DuHQk8gJbyVlhajer8IuF
2023-09-13,59,All 4 Nothing (I'm So In Love),Lauv,29,60,17,"17,097",7I5WT7DtpwSAhEeDLpZEfm,5JZ7CnR6gTvEMKX4g70Amv
