date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-12,1,Seven (feat. Latto),"Jung Kook, Latto",1,1,61,"82,856",7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc
2023-09-12,2,我会等,承桓,1,2,161,"57,140",5Rzpn60KTM11EBETHaF9Kt,3ZYhFl4nztqc9vx35vKdUI
2023-09-12,3,想和你看五月的晚霞,陳華,3,3,311,"49,345",6pFxVcn6T4BdP8mfZpTQHZ,5ZxRmJ21NzjxD2ZGBxi7um
2023-09-12,4,Super Shy,NewJeans,1,4,68,"46,540",5sdQOyqq2IDhvmx2lHOpwd,6HvZYsbFfjnjFrWF950C9d
2023-09-12,5,Slow Dancing,V,5,5,5,"44,565",5h1BN75CEh8wdSwE1xrbSe,3JsHnjpbhX4SnySpvpa9DK
2023-09-12,6,字字句句,卢卢快闭嘴,6,7,107,"42,638",7fAdinC2UTc0Y9GiKrkTtu,4wUR1NviIGE01yEfeLNkeV
2023-09-12,7,Queencard,(G)I-DLE,1,6,121,"42,553",4uOBL4DDWWVx4RhYKlPbPC,2AfmfGFbe0A0WsTYm0SDTx
2023-09-12,8,Love Me Again,V,6,9,33,"37,958",2N0SPREDYqILVEFSsWF5N5,3JsHnjpbhX4SnySpvpa9DK
2023-09-12,9,SPECIALZ,King Gnu,7,8,12,"37,601",0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2
2023-09-12,10,毒藥,Xiao Bing Chih,7,10,509,"36,494",5VymCvfV0FguCa7zrIPSgk,0Ej4GfzIcW3dWP0rC5d4x1
2023-09-12,11,不是因為天氣晴朗才愛你,Bestards,4,12,1166,"33,149",2VEt42QSQxILgEf9B50xxm,0Awqm7GXGiBp8fJNGvywra
2023-09-12,12,烏梅子醬,Ronghao Li,1,11,208,"32,929",4p9jbhD6N7HpuECGusu6iT,0rTP0x4vRFSDbhtqcCqc8K
2023-09-12,13,我就想你,Bestards,8,15,377,"32,126",0Eh0C7rpC5E0sPy4OcLdsq,0Awqm7GXGiBp8fJNGvywra
2023-09-12,14,OMG,NewJeans,1,14,254,"30,399",65FftemJ1DbbZ45DUfHJXE,6HvZYsbFfjnjFrWF950C9d
2023-09-12,15,"如果可以 - 電影""月老""主題曲",WeiBird,1,16,677,"30,388",72OVnXDzugvrCU25lMi9au,7y3HnWCFEvWj4KM9GFSkiX
2023-09-12,16,訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,2,13,387,"30,336",6la3Kme7O7D01fJPxgpAS5,7hmSHY9HVVQKejpGbPbo16
2023-09-12,17,Love U Like That,Lauv,16,17,38,"28,363",3rmqiQbzPDx7A8p88IRFKg,5JZ7CnR6gTvEMKX4g70Amv
2023-09-12,18,I AM,IVE,2,21,156,"28,300",70t7Q6AYG6ZgTYmJWcnkUM,6RHTUrRF63xao58xh9FXYJ
2023-09-12,19,Paint The Town Red,Doja Cat,19,22,35,"28,142",2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5
2023-09-12,20,アイドル,YOASOBI,2,18,154,"28,032",7ovUcF5uHTBRzUpB6ZOmvt,64tJ2EAv1R6UaZqc4iOCyj
2023-09-12,21,Cruel Summer,Taylor Swift,10,23,87,"27,744",1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
2023-09-12,22,青のすみか,Tatsuya Kitani,10,20,68,"27,702",12usPU2WnqgCHAW1EK2dfd,7mvhRvEAHiCTQHUnH7fgnv
2023-09-12,23,眼淚記得你 - 電影《想見你》主題曲,Shi Shi,2,24,264,"27,671",0USeB0Tykai3QZj5YAUclG,4XKp9GFAQfsh2NflSRnHQi
2023-09-12,24,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",Eric Chou,2,26,418,"27,319",2OR5FUKy3GQ7I9DCbRnfsW,5fEQLwq1BWWQNR8GzhOIvi
2023-09-12,25,Rainy Days,V,13,19,33,"27,283",5ydjxBSUIDn26MFzU3asP4,3JsHnjpbhX4SnySpvpa9DK
2023-09-12,26,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,11,27,61,"26,245",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH
2023-09-12,27,从前说,小阿七,4,28,224,"26,040",3t5edAHbyFEW67wFApp7EO,7tDLiRbNQalA5uvTpX2bKh
2023-09-12,28,Fast Forward,JEON SOMI,10,25,37,"25,996",7jzOZuWgZ5gaMet9V5Ix1d,7zYj9S9SdIunYCfSm7vzAR
2023-09-12,29,是你.,政学Zed-X,20,34,131,"25,632",3fiXwwPL7cUvD7BqkHdN0J,7DAjUaK40De066EOFR6fxB
2023-09-12,30,摯友,A-Lin,4,32,120,"25,467",1bQHKplf5fkkecalhAgYp0,28gf2piFx6cAKOMIwcky5a
2023-09-12,31,FLOWER,JISOO,1,29,166,"25,119",69CrOS7vEHIrhC2ILyEi0s,6UZ0ba50XreR4TM8u322gs
2023-09-12,32,Ditto,NewJeans,1,30,268,"24,968",3r8RuvgbX9s7ammBn07D3W,6HvZYsbFfjnjFrWF950C9d
